2025-12-25 18:42:29,536 | INFO | trader.main | OK: config + logging initialized
2025-12-25 18:46:50,055 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,057 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,064 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,112 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,114 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,115 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,168 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,168 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,169 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,169 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,169 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,265 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,265 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,265 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,267 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,267 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,268 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,268 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,315 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,315 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
2025-12-25 18:46:50,316 | INFO | trader.binance_spot_bbo | BBO BTCUSDT bid=87533.47 ask=87533.48 mid=87533.48
